country_code,country_name,year,access_to_electricity_pct,energy_use_per_capita_kg_oil_eq,fertilizer_consumption_kg_per_ha,forest_area_pct_land,fossil_fuel_energy_pct,gdp_per_capita_current_usd,industry_value_added_pct_gdp,life_expectancy_years,pm25_mean_exposure,renewable_energy_pct_total_final,school_enrollment_secondary_gross_pct,urban_population_pct
FRA,France,2015,100.0,3799.19260526718,170.400948118645,31.2385193431673,45.17655073785,36702.4323733379,17.236441547058,82.3219512195122,11.3442976642006,13.3,103.396041870117,77.7610919150066
FRA,France,2016,100.0,3718.17053401513,163.139120924284,31.3932646813248,0.0,37024.2157133669,16.9433572396904,82.5731707317073,10.508154814077,14.2,103.308097839355,78.5999114705779
FRA,France,2017,100.0,3705.41111644137,177.62482732281,31.5480100194823,0.0,38687.1626407164,16.7483032647876,82.5756097560976,10.4583123660264,14.1,103.756080627441,78.6467804026368
FRA,France,2018,100.0,3669.37065950443,170.970793980051,31.7027553576399,0.0,41418.1766484844,16.725283255726,82.6756097560976,10.4599453286038,15.2,103.773330688477,78.6714432536599
FRA,France,2019,100.0,3605.53190025511,157.722612244347,31.8575006957974,0.0,40408.2848574751,16.907003960354,82.8268292682927,9.82524600527018,15.5,104.07689666748,78.6890784549356
FRA,France,2020,100.0,3228.48915727036,179.540121660326,32.0122460339549,0.0,39169.8606000707,16.272651205236,82.1756097560976,9.60038144780495,16.8,104.566566467285,78.7119131765249
DEU,Germany,2010,100.0,4029.83085754355,211.596825932804,32.7308718478354,78.9137435234329,42396.9665976293,26.0371435344861,79.9878048780488,16.201690204245,11.6,104.891357421875,80.305702559949
DEU,Germany,2011,100.0,3891.87175356307,191.486989473684,32.7375487720909,79.9147448510039,47630.9761883572,26.2795286339924,80.4365853658537,15.7161711583543,12.5,105.34651184082,80.3405762928198
DEU,Germany,2012,100.0,3913.43920397127,198.921581882711,32.7451655477133,79.8734282244706,44718.0159214069,26.5450401531822,80.5390243902439,13.9078592571706,13.6,104.442237854004,80.393447520218
DEU,Germany,2013,100.0,3986.18505186393,203.47061300101,32.7189864709929,80.1391869348281,47206.8353514242,25.8779408891742,80.490243902439,13.6633968189434,13.6,103.935333251953,80.4732318400362
DEU,Germany,2014,100.0,3794.44720253102,217.69567781616,32.7228432215535,79.3957288542964,48959.5991203133,25.9859539549736,81.090243902439,12.2822480920893,14.0,103.303871154785,80.57574023743
DEU,Germany,2015,100.0,3780.85027551891,202.273932128989,32.7323281545606,79.6280369964341,41929.7549110722,25.8737038512745,80.6414634146341,12.8253525089793,14.6,102.192413330078,80.6974371632814
DEU,Germany,2016,100.0,3765.21799936242,197.228258097424,32.685482024273,0.0,42948.9381932694,26.1732405694774,80.990243902439,11.7806958987308,14.2,100.852310180664,80.8347870684725
DEU,Germany,2017,100.0,3763.19404182465,178.118926265715,32.6845464693591,0.0,45553.9341495339,25.9754703565139,80.9926829268293,11.8978451129639,15.2,101.095642089844,80.9842544038853
DEU,Germany,2018,100.0,3659.22924485198,166.481118404228,32.6836109680005,0.0,48916.1686612154,25.8506477811784,80.8926829268293,11.6526030992972,16.0,100.837303161621,81.1423036204018
DEU,Germany,2019,100.0,3570.88159282488,174.098685333789,32.6826755201923,0.0,47656.199739747,25.5415743169893,81.2926829268293,10.6378495266542,17.1,101.152557373047,81.3053991689039
DEU,Germany,2020,100.0,3349.19931383762,163.242026748971,32.6826755201923,0.0,47394.8734504469,25.2353421894561,81.0414634146342,10.2876894329414,18.5,101.307800292969,81.4700055002738
ISR,Israel,2010,100.0,3043.56517574048,206.403269754768,7.11645101663586,96.3156389549734,31439.0887027614,20.8142494931167,81.6024390243903,24.5561552293902,8.6,97.8008117675781,91.7316426703946
ISR,Israel,2011,100.0,2981.37242150116,251.606357795063,7.2181146025878,96.4452722159678,34522.5215979073,20.1347126935193,81.6560975609756,24.4804002133439,9.1,98.0884170532227,91.7304024673781
ISR,Israel,2012,100.0,2968.58833913788,278.833107191316,7.31977818853974,99.8871139276641,33321.4300881602,20.4568472081077,81.7048780487805,22.1038555397058,2.9,98.0721435546875,91.7276502819515
ISR,Israel,2013,100.0,2662.60942480489,296.011196641008,7.42144177449168,,37034.3161080785,20.5672452681451,82.0560975609756,22.578207348874,3.3,98.7666168212891,91.7227831465406
ISR,Israel,2014,100.0,2528.01855666417,264.226289517471,7.52310536044362,,38343.3046626235,19.9174851566845,82.1536585365854,21.175469715827,3.7,98.5257034301758,91.7151980935716
ISR,Israel,2015,100.0,2607.84399987972,243.606998654105,7.62476894639556,,36213.1041481958,19.9747306038652,82.0512195121951,22.1043027343095,3.7,98.464973449707,91.7042921554705
ISR,Israel,2016,100.0,2569.21718310487,280.677966101695,6.46950092421442,0.0,37671.5389138798,19.1238077128283,82.4073170731707,18.8170113677762,4.0,99.2754516601562,91.6894623646632
ISR,Israel,2017,100.0,2481.51602271413,229.850129198966,6.46950092421442,0.0,41138.470964272,18.564684688678,82.5512195121951,20.0293441275017,3.9,98.0842971801758,91.6701057535759
ISR,Israel,2018,100.0,2490.06554012289,240.677966101695,6.46950092421442,0.0,42362.6652754196,18.8202979612975,82.8024390243903,20.5625974806507,3.8,98.327278137207,91.6456193546346
ISR,Israel,2019,100.0,2407.97500275888,211.677248677249,6.46950092421442,0.0,44250.6313628073,18.9233446958735,82.8048780487805,19.5556432093837,4.5,97.8852386474609,91.6154002002652
ISR,Israel,2020,100.0,2453.62703150387,240.312273057371,6.46950092421442,0.0,44575.5719045492,19.4382959029959,82.6487804878049,18.5982756348314,5.6,98.0958404541016,91.5788453228939
JPN,Japan,2010,100.0,3900.21212768124,255.090378327884,68.4938271604938,80.7668676604902,44968.1562349739,28.3359701667911,82.8426829268293,10.8511260577664,4.7,,90.6228586840649
JPN,Japan,2011,100.0,3620.18019068219,249.839915373766,68.481755829904,89.5336527279383,48760.0789494211,26.7014360671016,82.5912195121951,12.2742530701447,4.8,,90.8631654434251
JPN,Japan,2012,100.0,3536.70253450885,252.825247291569,68.4696844993141,94.6392276053142,49145.2804308193,26.562641428228,83.0960975609756,12.8068431271902,4.7,,91.0265277326652
JPN,Japan,2013,100.0,3567.33780517627,244.643699858424,68.4576131687243,94.6410356489959,40898.6478964744,26.6507450551464,83.3319512195122,13.2542512411266,5.0,101.049438476562,91.1516595654317
JPN,Japan,2014,100.0,3445.81632921551,253.197536712459,68.4455418381344,95.0909540310789,38475.3952461838,27.3136267349767,83.5878048780488,13.740610303435,5.6,101.036422729492,91.2548945132333
JPN,Japan,2015,100.0,3400.59271053608,225.326991676576,68.4334705075446,93.791450810853,34960.6393843385,28.5837114240167,83.7939024390244,12.8685359282927,6.2,101.724517822266,91.3532644103625
JPN,Japan,2016,100.0,3370.8877963853,236.018164435946,68.4224965706447,0.0,39375.4731620781,28.6299476490573,83.9848780487805,12.799061198144,6.4,101.296928405762,91.4541254852142
JPN,Japan,2017,100.0,3391.05041453219,243.234799327085,68.4087791495199,0.0,38834.0529341227,28.8824260088632,84.099756097561,13.1198276213348,6.9,100.260749816895,91.5498419685883
JPN,Japan,2018,100.0,3343.05412833973,235.997102848865,68.4087791495199,0.0,39751.1330982711,29.0140076866127,84.2109756097561,13.0790330283313,7.3,100.482200622559,91.6377318609728
JPN,Japan,2019,100.0,3261.62024942915,226.503394762367,68.4087791495199,0.0,40415.9567649547,28.8040848106902,84.3563414634146,12.9378727869587,7.8,100.660270690918,91.7164207898107
JPN,Japan,2020,100.0,3046.85480668859,216.008771929825,68.4087791495199,0.0,40028.7341726762,29.0568076109153,84.56,12.835201662985,8.5,101.34056854248,91.7809926267889
KOR,"Korea, Rep.",2010,100.0,4920.34159542887,330.282680822827,65.7098765432099,84.9772705251785,24071.2620526362,34.4083287071276,80.1170731707317,21.7913866730167,1.3,97.2930603027344,81.9685075986486
KOR,"Korea, Rep.",2011,100.0,5114.96282558864,337.319220430108,65.6137462701924,84.3895257817618,26175.2398553363,34.8688946576209,80.5682926829269,24.8830450375162,1.4,97.5294189453125,81.9615408086376
KOR,"Korea, Rep.",2012,100.0,5122.94213308196,351.825647089739,65.4300688521221,85.2613535136449,26600.5477433903,34.7007966708538,80.819512195122,25.5767916080653,1.6,97.3674163818359,81.9087898200378
KOR,"Korea, Rep.",2013,100.0,5108.23633855207,344.695814948523,65.2495227146758,86.198534712566,28449.3591104972,35.1987111905484,81.2707317073171,27.4929658439861,1.9,97.8287506103516,81.8269383502703
KOR,"Korea, Rep.",2014,100.0,5136.98533019492,345.922764227642,65.1442060966848,84.837677016859,30667.0912467447,35.0245177739824,81.7219512195122,28.3760075385872,2.9,98.5806732177734,81.7315682816954
KOR,"Korea, Rep.",2015,100.0,5239.00345362778,337.812905428474,65.0315562625071,83.7249545111828,30171.7906545222,35.113231110723,82.0243902439024,26.2899620146574,2.7,98.5931930541992,81.639489860678
KOR,"Korea, Rep.",2016,100.0,5390.84042635905,351.141449683322,64.8791145667716,0.0,30832.0628072516,35.226493712639,82.2756097560976,26.6704344134095,2.6,98.7179565429688,81.5559241797057
KOR,"Korea, Rep.",2017,100.0,5467.82224967457,353.420204768383,64.783099169316,0.0,33296.9845439195,35.6298842658067,82.6268292682927,26.0043671138493,2.8,99.105583190918,81.471030429984
KOR,"Korea, Rep.",2018,100.0,5531.77957372505,367.328238719068,64.6739130434783,0.0,35363.9508228687,34.9767074768513,82.6268292682927,25.9343920098722,3.2,99.3186569213867,81.3823523035196
KOR,"Korea, Rep.",2019,100.0,5334.67385872126,366.530791788856,64.5184426229508,0.0,33826.9443301597,33.6464921028153,83.2268292682927,26.0153634264606,3.2,98.3813018798828,81.2901063535619
KOR,"Korea, Rep.",2020,100.0,5195.91011087811,304.810650887574,64.4159836065574,0.0,33645.7719545073,33.3563261777639,83.4268292682927,25.9439899531653,3.6,97.0888214111328,81.1759595622913
RUS,Russian Federation,2010,99.3,4853.36753031766,15.7245024620013,49.7735892145447,89.8894516557171,10674.990234375,29.999588218512,68.8412195121951,15.378627239492,3.3,,73.6696307887624
RUS,Russian Federation,2011,99.2,5004.23439250465,16.1872271864134,49.7710839739218,91.6925475612423,14305.33203125,29.4135888378747,69.6839024390244,13.9138877120952,3.2,94.5758904929741,73.8534851074219
RUS,Russian Federation,2012,100.0,5056.08323400834,15.4335835066462,49.7685787332989,92.7448881852914,15401.8515625,29.102868072666,70.0721951219512,13.8991230346483,3.2,95.5384826756866,73.97265625
RUS,Russian Federation,2013,100.0,4919.89870162422,15.2982761880492,49.766073492676,92.2077778085416,15941.4482421875,28.1912891799352,70.5787804878049,14.0574320033086,3.6,95.9993761959632,74.0762949770228
RUS,Russian Federation,2014,100.0,4915.75746633152,15.9005006206381,49.763568252053,92.3829682310696,14055.47265625,27.9315270606099,70.7436585365854,14.2481805159069,3.3,95.6056322692131,74.1776476748791
RUS,Russian Federation,2015,95.5,4804.23014928516,16.6626112832822,49.7610630114301,49.9404108669885,9277.7138671875,29.7940599874349,71.1834146341463,12.9392509421972,3.2,96.3292563031308,74.275919065527
RUS,Russian Federation,2016,99.4,4936.04266971322,18.6871819743689,49.7726977132993,0.0,8663.158203125,29.1739050669208,71.6512195121951,12.4784655225055,3.4,95.8434944997854,74.3703138709243
RUS,Russian Federation,2017,100.0,5018.77352571388,20.328288765218,49.7843605035639,0.0,10658.9130859375,30.6732968853437,72.4514634146342,11.739094414375,3.2,97.5206298303399,74.460036813029
RUS,Russian Federation,2018,100.0,5279.09416060338,20.8141127341778,49.7843605035639,0.0,11211.8876953125,32.5542980530841,72.6621951219512,12.3153675046294,3.2,99.1831046517789,74.5442926137992
RUS,Russian Federation,2019,99.8,5082.7299560342,22.5914475252571,49.7843605035639,0.0,11447.701171875,32.1504958365379,73.0839024390244,11.6778230257169,3.2,100.471744682473,74.6222859951926
RUS,Russian Federation,2020,99.9,5068.38550364971,25.3278119836579,49.7843605035639,0.0,10108.3271484375,29.7171245814295,71.3387804878049,11.2727775886895,3.7,91.5812884026933,74.6932216791674
SAU,Saudi Arabia,2010,100.0,7965.26121862505,68.8665664458924,0.454484134921779,97.1141605250732,22028.3901426586,58.0314401714882,75.616,59.8441227942823,0.0,,82.0791668544465
SAU,Saudi Arabia,2011,100.0,7979.3799657336,80.8902157991174,0.454484134921779,88.2559935839333,27126.7498747702,63.0803869808085,75.808,61.9036201963126,0.0,,82.2543876159947
SAU,Saudi Arabia,2012,100.0,7862.42354103658,88.4004176161606,0.454484134921779,96.8982298785652,28733.4375513452,61.9428982819125,76.09,65.8136535735159,0.0,,82.4311918025358
SAU,Saudi Arabia,2013,100.0,7401.17130265584,82.0958973593605,0.454484134921779,93.5954421193098,27865.465604962,58.9702568849547,76.517,64.2495664318178,0.0,93.0168905157466,82.6071884619102
SAU,Saudi Arabia,2014,100.0,7959.81351652344,79.0364842823095,0.454484134921779,94.6812895083609,27805.4850319422,56.1653404810043,77.116,51.0877522409227,0.0,98.8496091524944,82.7822571294871
SAU,Saudi Arabia,2015,100.0,7786.91651664863,92.3986374834626,0.454484134921779,7.12657787813047,23256.1549553531,44.6011697093878,77.776,65.6121801282607,0.0,102.979200639837,82.9562773406163
SAU,Saudi Arabia,2016,99.9,7521.58911581712,91.2878380425944,0.454484134921779,0.0,22267.7217050387,42.5305962013279,78.354,57.2721294327821,0.0,105.491550199825,83.129128630626
SAU,Saudi Arabia,2017,100.0,7707.05632967392,86.7207810912629,0.454484134921779,0.0,23929.2907135982,44.8899324686986,78.721,59.4402484783372,0.0,106.244903966787,83.300690534822
SAU,Saudi Arabia,2018,99.9,7650.76338796016,87.3911212307019,0.454484134921779,0.0,29360.0658968566,49.0147439495304,78.75,61.9886640504678,0.0,106.376211565111,83.4708425884849
SAU,Saudi Arabia,2019,100.0,7669.39905417665,87.6278306689828,0.454484134921779,0.0,29566.7933827436,45.7234459871756,78.313,58.6225928552836,0.0,104.048257824894,83.6394643268678
SAU,Saudi Arabia,2020,100.0,7172.00803547452,125.327912029354,0.454484134921779,0.0,24338.8307301067,38.3004545080469,77.596,53.1486013629285,0.1,104.411027399625,83.8064352851942
